Title,Author,Room,Image,1,2,3,audio description,description
Ecce Homo,Solario Antonio detto Zingaro (Civita dâ€™Antino  1465 ca. - Napoli  1530),9,092.png,,,,092.mp3,Descrizione non disponibile
La Fama,Scarsella Ippolito detto Scarsellino (Ferrara  1550 ca. - 1620),20,093.png,,,,093.mp3,Descrizione non disponibile
Galatea,Carracci Ludovico (Bologna  1555 - 1619),20,094.png,,,,094.mp3,"La tela con Galatea faceva parte di cinque ovali raffiguranti personaggi mitologici, commissionati ad Annibale, Agostino e Ludovico Carracci da Cesare d’Este. Nel 1591 Cesare, non ancora duca, intraprese la ristrutturazione di alcuni ambienti del Palazzo dei Diamanti a Ferrara, comprendenti le camere della consorte Virginia de’ Medici e l’antistante camera del Poggiolo. La ristrutturazione coincideva con l’imminente arrivo di un erede, il futuro Alfonso III d’Este.
Gli ovali, destinati presumibilmente alla stanza del poggiolo, raffiguravano Flora, Galatea (o Salacia), Venere, Plutone ed Eolo, oggi disperso. Le tele arrivarono a Palazzo nel 1592 e qui rimasero fino al 1630, quando per volere di Francesco I d’Este le opere superstiti a Ferrara furono recuperate e collocate nel Palazzo Ducale di Modena. Nel 1796 in seguito alle requisizioni napoleoniche furono trasferite in Francia, ma dopo la Restaurazione nel 1815 furono restituite agli estensi.
Sebbene siano individuabili i caratteri stilistici dei tre artisti, gli ovali sono accomunati dalla costruzione spaziale dello scorcio in sottoinsù, dalla posizione sdraiata dei corpi, dalle loro forme energiche e ben tornite (che rimandano al disegno michelangiolesco) e da un’atmosfera correggesca."
Noli me tangere,"Bianchi Ferrari Francesco (Modena, 1460 ca. - 1510)",Stanza non disponibile,095.png,,,,095.mp3,"La tavola frammentaria costituisce quanto rimane della cimasa della Pala delle Tre Croci, esposta anch'essa in Galleria Estense. Ragioni di natura stilistica hanno però portato la critica a datare il dipinto a una fase più matura dell'attività dell’artista, attorno al 1500."
Natività di san Giovanni Battista,"Bugiardini Giuliano (Firenze, 1476 - 1555)",8,096.png,,,,096.mp3,"Seguendo il testo evangelico il dipinto raffigura il momento della visita della Madonna a santa Elisabetta, avvenuta nel giorno dell’imposizione del nome di Giovanni al neonato. La scena, in cui predomina il linguaggio degli sguardi e della gestualità dei personaggi, si svolge in un interno intimamente domestico, arricchito da particolari attentamente disposti, come il paniere e l’alberello poggiati sulla testata del letto, il vaso di rose sul camino o la scodella e la brocca che l’ancella porge a Elisabetta."
San Girolamo penitente,"Meloni Marco (Carpi, notizie dal 1498 al 1541)",Stanza non disponibile,097.png,,,,097.mp3,Descrizione non disponibile
Ritratto d'uomo,"Selleri Girolamo detto Girolamo da Carpi (Ferrara, 1501 - 1556)",Stanza non disponibile,098.png,,,,098.mp3,Descrizione non disponibile
Ritratto del duca Alfonso I d'Este,"Luteri Battista di Niccolò detto Battista Dossi (Ferrara, notizie dal 1517 - m. 1548)",13,099.png,,,,099.mp3,Descrizione non disponibile
San Francesco d'Assisi in preghiera con due angeli,"Gessi Giovan Francesco (Bologna, 1588 – 1649)",Stanza non disponibile,100.png,,,,100.mp3,"Dopo la terribile epidemia di peste del 1630, Guido Reni dipinse uno dei suoi capolavori più noti, ovvero lo stendardo per la chiesa bolognese di San Domenico con la Madonna, il Bambino e diverse figure di santi (Bologna, Pinacoteca Nazionale). Una di queste, il san Francesco orante, fu replicata dallo stesso Reni come dipinto isolato e poi anche da suoi seguaci in diverse altre versioni autonome. Questa, di particolare pregio, nel Settecento era considerata autografa ma si deve probabilmente a Giovan Francesco Gessi."
Assunzione della Vergine,"Carracci Ludovico (Bologna, 1555 - 1619)",Stanza non disponibile,101.png,,,,101.mp3,"Alla fine della sua vita Maria fu assunta in cielo, stando a una lunghissima tradizione poi divenuta dogma della Chiesa cattolica. La luminosa armonia di questa pala, dietro ai festosi angeli musicanti e al paesaggio marino con arcobaleno, racchiude riferimenti dottrinali al mistero dell’Immacolata Concezione. Vi allude l’iscrizione che si legge sul sarcofago, tratta da un testo medievale del cosiddetto Pseudo-Agostino, per cui l’incorruttibilità del corpo di Maria è una necessaria conseguenza della sua verginità."
San Rocco in carcere,"Reni Guido (Bologna, 1575 - 1642)",Stanza non disponibile,102.png,,,,102.mp3,"Questa pala d’altare è fra le creazioni più riuscite di Guido Reni ed era ammiratissima già nel Seicento. Raffigura il giovane san Rocco nei suoi ultimi anni di vita, quando si lasciò morire nel carcere dove era stato rinchiuso per il suo aspetto da mendicante. Reni espresse il patetismo del soggetto idealizzandolo con una figura monumentale e scultorea. Fu tra i capolavori della Galleria ceduti alla Francia in età napoleonica, e poi rientrati in Italia dopo il Congresso di Vienna del 1815."
Adorazione del Bambino,"Luteri Battista di Niccolò detto Battista Dossi (Ferrara, notizie dal 1517 - m. 1548)",13,103.png,,,,103.mp3,Descrizione non disponibile
Ritratto di Alfonso II Gonzaga conte di Novellara,"Gennari Cesare (Cento, 1637 - Bologna, 1688)",16,104.png,,,,104.mp3,"Alfonso II (1616-1678), conte di Novellara, apparteneva ad un ramo parallelo della famiglia Gonzaga di Mantova. Educato a Roma e fine intenditore d’arte, possedeva una ricca collezione che finì poi venduta e dispersa. Questo ritratto e il suo pendant della moglie Ricciarda (inv. 257), furono acquistati nell’Ottocento da una collezione modenese. Si devono ai fratelli Benedetto e Cesare Gennari, che ebbero un ruolo importantissimo nel perpetuare e diffondere l’eredità artistica del Guercino."
Ritratto di Ricciarda Cybo Gonzaga,"Gennari Benedetto il Giovane (Cento, 1633 - Bologna, 1715)",16,105.png,,,,105.mp3,Descrizione non disponibile
Visione di san Francesco d'Assisi,"Spada Leonello (Bologna, 1576 - Parma, 1622)",21,106.png,,,,106.mp3,"Come nel caso della pala di Palma il Giovane (inv. 355), anche quest’opera proviene dal santuario della Madonna della Ghiara a Reggio Emilia. Fu dipinta subito dopo il completamento del ciclo di affreschi che decorano la cupola e il braccio nord della basilica, un capolavoro nel quale l’artista “parve che macinasse carne umana e se ne servisse per colore, tanto son vive e sanguigne le sue figure”, come scrisse più tardi lo storiografo Carlo Cesare Malvasia. Anche nella tela si apprezza l’esuberante e raffinata poetica di Leonello Spada."
"Natura morta con frutta e ortaggi, un gatto e un uccellino e due personaggi","Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,107.png,,,,107.mp3,"Con un timbro al tempo stesso aristocratico e informale, le quattro nature morte riflettono brillantemente il gusto di corte promosso dal duca Francesco I d’Este nella residenza estiva di Sassuolo. Alla metà del Seicento l’antica dimora era in piena trasformazione, e fra i diversi pittori e frescanti impegnati, al milanese Cittadini vennero affidati i brani di frutta, fiori e vegetali di cui era specialista. Da tale contesto provengono queste raffinate composizioni ravvivate da animali e piccole storie."
Le tentazioni di san Girolamo,"Gennari Bartolomeo (bottega di) (Cento, 1594 - Bologna, 1661)",21,108.png,,,,108.mp3,"Il dipinto illustra un passo della lettera che san Girolamo, uno dei Padri e Dottori della Chiesa, scrisse alla giovane Eustochio nell’anno 384 d.C. Esortandola a resistere alle tentazioni corporee, egli ricordava come nel tempo trascorso da eremita nel deserto, i digiuni e gli stenti gli provocassero allucinazioni di fanciulle danzanti e monumenti romani. La rarissima iconografia ha come prototipo un affresco dipinto nel 1605 dal Domenichino nel portico della chiesa romana di Sant’Onofrio al Gianicolo."
Sposalizio della Vergine,"Gennari Bartolomeo (Cento, 1594 - Bologna, 1661)",21,109.png,,,,109.mp3,"All’interno del Tempio di Gerusalemme, il sacerdote celebra le nozze fra Maria e l’anziano Giuseppe. Secondo la letteratura apocrifa, questi fu prescelto rispetto ad altri pretendenti in virtù del miracolo per cui sbocciarono dei fiori dal suo bastone, che nel dipinto è infatti un attributo del santo. Fedelissimo allievo del Guercino, Bartolomeo Gennari per questa pala si ispirò a disegni del maestro, ma anche al celeberrimo ""Sposalizio"" dipinto da Raffaello nel 1504 (oggi a Milano, Pinacoteca di Brera)."
Scipione colma di doni Massinissa e lo proclama re di Numidia,"Baldi Lazzaro (Pistoia, 1622 - Roma, 1703)",21,110.png,,,,110.mp3,"In questa tela è illustrato un episodio della Seconda Guerra Punica, tramandato da Tito Livio, che segue quello del dipinto inv. 358. Scipione celebra pubblicamente l’alleanza col giovane Massinissa, che di lì a poco si rivelò fondamentale nella battaglia di Zama con cui l’esercito romano sconfisse i Cartaginesi. Anche questa tela, dipinta sotto il diretto controllo di Pietro da Cortona, doveva completare il ciclo di arazzi che ornavano il palazzo d’Este di Roma e che oggi si conservano all’Academia Belgica."
Amnon scaccia la sorella Tamar,"Barbieri Giovan Francesco detto Guercino (Cento, 1591 - Bologna, 1666)",21,111.png,,,,111.mp3,"Questo soggetto controverso deriva da un passo biblico del secondo libro di Samuele. Tamar, avvenente figlia del re Davide, fu prima violentata e poi umiliata e scacciata da Amnon, un suo fratello che si era inizialmente innamorato di lei. In seguito questi verrà ucciso per vendetta da Assalonne, un altro fratello. L’opera può considerarsi un dipinto moraleggiante che allude al pericolo di cedere agli istinti più bassi, di cui maschera gli aspetti truci dietro alle pose teatrali e ai costumi contemporanei dei personaggi."
"Venere, Marte e Amore","Barbieri Giovan Francesco detto Guercino (Cento, 1591 - Bologna, 1666)",21,112.png,,,,112.mp3,"Seguendo l’indicazione di Venere, la cui mano destra è dipinta quasi a trompe l’oeil, Cupido sta per scoccare la sua freccia verso lo spettatore, che è chiamato così a identificarsi nel committente dell’opera, Francesco I d’Este in persona. In secondo piano, Marte scopre la scena accentuando il senso di irruzione improvvisa dell’invenzione artistica nel mondo reale. Guercino dipinse questo capolavoro per il duca nel 1633, durante uno dei suoi soggiorni presso la corte di Modena."
Madonna col Bambino che incorona santa Caterina d’Alessandria alla presenza di sant’Anna,"Tiarini Alessandro (Bologna, 1577 - 1668)",21,113.png,,,,113.mp3,"Questa complessa composizione ruota intorno al bacio di santa Caterina al piede di Gesù bambino, una versione alternativa alla più consueta scena di consegna dell’anello nuziale che sancì la consacrazione della giovane a Cristo. In primo piano si scorge un frammento della ruota dentata con cui venne martirizzata la santa, mentre a sinistra Anna, madre di Maria, lega lo spazio del dipinto a quello dello spettatore. Tiarini fu uno dei grandi protagonisti della pittura del primo Seicento e Reggio Emilia."
Elevazione della croce,"Tiarini Alessandro (Bologna, 1577 - 1668)",21,114.png,,,,114.mp3,"In questa tela è ricercato un intenso effetto drammatico: Gesù crocifisso viene sollevato a fatica, mentre uno dei carnefici prepara la tavoletta su cui è scritto REX JUDAEORVM (re dei Giudei). Il dipinto fu realizzato per l’Oratorio dell’Invenzione della Croce di Reggio Emilia come parte di un importante ciclo di storie della Passione, a cui parteciparono altri artisti di primo livello come Sisto Badalocchio, Palma il Giovane e Guercino."
"Natura morta con frutta, ortaggi, cacciagione un cane e una gazza","Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,115.png,,,,115.mp3,"Con un timbro al tempo stesso aristocratico e informale, le quattro nature morte (invv. 48, 54, 224, 225) riflettono brillantemente il gusto di corte promosso dal duca Francesco I d’Este nella residenza estiva di Sassuolo. Alla metà del Seicento l’antica dimora era in piena trasformazione, e fra i diversi pittori e frescanti impegnati, al milanese Cittadini vennero affidati i brani di frutta, fiori e vegetali di cui era specialista. Da tale contesto provengono queste raffinate composizioni ravvivate da animali e piccole storie."
Madonna col Bambino e san Gaetano Thiene,"Dal Sole Giovan Gioseffo (Bologna, 1654 - 1719)",22,116.png,,,,116.mp3,Descrizione non disponibile
Presentazione della Vergine al Tempio,"Dell'Abate Ercole (Modena, 1573 – 1613)",20,117.png,,,,117.mp3,"Poco dopo l’abbandono di Ferrara, il duca Cesare d’Este decise di decorare una cappella dell’antico castello di famiglia di Modena, dedicata alla Natività della Vergine. Vista l’impossibilità di commissionarne le tele a Federico Barocci e poi ad Annibale Carracci e Caravaggio, prime ambiziose scelte, il duca ripiegò su più affidabili maestri locali: Scarsellino, Ercole Dell'Abate e Bartolomeo Schedoni. Ne risultò un trittico (invv. 2, 83, 420) elaborato in maniera non coordinata, ma comunque caratterizzato da una vivace impronta narrativa per le molte figure affaccendate che interpretano le tre storie mariane."
San Carlo Borromeo guarisce un indemoniato,"Caula Sigismondo (Modena, 1637 - 1724)",22,118.png,,,,118.mp3,"Nel tardo Seicento, Sigismondo Caula contendeva il ruolo di primo pittore a Modena al coetaneo Francesco Stringa. Entrambi furono chiamati a decorare la chiesa di San Carlo, e Caula propose due bozzetti per la tela in controfacciata. Qui l’arcivescovo di Milano Carlo Borromeo è in processione nella città in festa, e benedice un indemoniato guarendolo miracolosamente. Questo e l’esemplare definitivo (inv. 2930), costituiscono una preziosa testimonianza di bozzetti preparatori per una commissione pubblica."
Nozze di Mosè e Sefora,"Le Brun Charles (Parigi, 1619 – 1690)",22,119.png,,,,119.mp3,"A seguito dell’incontro con le figlie di Jetro illustrato nel dipinto pendant (inv. 238), Mosè sposò una di queste, di nome Sefora. Iniziò quindi una nuova vita da pastore che lo condusse infine alla vocazione divina sul monte Oreb. Le Brun dipinse queste raffinatissime opere in età avanzata, ispirandosi esplicitamente alla produzione di Nicolas Poussin, maestro sommo del classicismo seicentesco. I due dipinti furono ceduti alla Galleria a parziale risarcimento per le opere trafugate in età napoleonica."
"Natura morta con fiori, stoffe e bicchieri","Zuccati Adeodato (attr.) (Bologna, 1680 - 1720 ca. )",21,120.png,,,,120.mp3,Descrizione non disponibile
"Natura morta con cesto di fiori, brocca di porcellana cinese e frutta","Munari Cristoforo (Reggio Emilia, 1667 - Pisa, 1720)",21,121.png,,,,121.mp3,Descrizione non disponibile
"Natura morta con aquila, pappagallo e fiori","Stringa Agostino (Modena, ca. 1640 - post 1709)",21,122.png,,,,122.mp3,Descrizione non disponbile
Diana e Endimione,"Vellani Francesco (Modena, 1687 - 1768)",22,123.png,,,,123.mp3,Descrizione non disponbile
Madonna col Bambino che benedice san Giovannino,"Foschi Pier Francesco (attr.) (Firenze, notizie dal 1495 - 1564)",8,124.png,,,,124.mp3,Descrizione non disponbile
Adorazione dei Magi,"Polidoro da Lanciano (Lanciano, 1510/1515 – Venezia, 1565)",9,125.png,,,,125.mp3,Descrizione non disponibile
Il Caso e la Pazienza,"Selleri Girolamo detto Girolamo da Carpi (copia da) (Ferrara, 1500/1501 - 1556)",13,126.png,,,,126.mp3,Descrizione non disponibile
Madonna col Bambino,"Botticelli Sandro (scuola di) (Firenze, 1445 – 1510)",8,127.png,,,,127.mp3,Descrizione non disponibile
"Madonna col Bambino, santa Elisabetta, san Giovannino e due angeli",Andrea del Sarto (copia da),Stanza non disponibile,128.png,,,,128.mp3,Descrizione non disponibile
Pietà,Scuola dell'Italia centrale,Stanza non disponibile,129.png,,,,129.mp3,Descrizione non disponibile
Ritratto d'uomo,"Mazzola Filippo (attr.) (Parma, 1480 ca. - 1500)",Stanza non disponibile,130.png,,,,130.mp3,Descrizione non disponibile
Ritratto di giovinetto,"Mocetto Girolamo (Murano, 1470 ca. - Venezia, 1531)",,131.png,,,,131.mp3,Descrizione non disponibile
Ritratto d'uomo di profilo,Scuola lombarda,Stanza non disponibile,132.png,,,,132.mp3,Descrizione non disponibile
Ritratto di giovane,"Maestro Esiguo (Attivo in Toscana e Umbria, fine del sec. XV - inizio del sec. XVI)",Stanza non disponibile,133.png,,,,133.mp3,Descrizione non disponibile
Martirio di san Sebastiano,"Lorenzo di Credi (Firenze, 1456/60 - 1537)",Stanza non disponibile,134.png,,,,134.mp3,Decsrizione non disponibile
Adorazione del Bambino,"Scarsella Ippolito detto Scarsellino (Ferrara, 1550 ca. - 1620)",20,135.png,,,,135.mp3,"Questa pala fu commissionata per il coro della chiesa gesuita di San Bartolomeo, negli stessi anni in cui altri capolavori giungevano a decorare l’edificio prima di essere trasferiti nella Galleria ducale (pale del Pomarancio e di Giulio Cesare Procaccini, invv. 424, 465). Assieme a Carlo Bononi, Scarsellino fu uno dei principali pittori attivi in area estense nell’epoca di transizione da Ferrara a Modena capitale. In quest’opera della maturità si apprezza soprattutto il gruppo degli angeli musicanti in cielo."
San Cristoforo,"Meloni Marco (Carpi, notizie dal 1498 al 1541)",Stanza non disponibile,136.png,,,,136.mp3,Descrizione non disponibile
Crocifissione,Scuola fiamminga,9,137.png,,,,137.mp3,Descrizione non disponibile
Madonna col Bambino e san Sebastiano,Giovanni Agostino da Lodi (Pseudo Boccaccino) (Attivo a Milano e Venezia fra il 1490 e il 1524 ca.),9,138.png,,,,138.mp3,Decsrizione non disponibile
Madonna col Bambino e due angeli musicanti,Maestro della Leggenda di santa Lucia (Attivo a Bruges nella seconda metà del XV secolo),9,139.png,,,,139.mp3,Descrizione non disponibile
Madonna dei limoni (Madonna col Bambino e i santi Francesco e Quirino),"Allegri Antonio detto Correggio (attr.) (Correggio, 1489 - 1534)",Stanza non disponibile,140.png,,,,140.mp3,"Commissionato dopo la peste del 1511, l’affresco venne smurato a massello dopo soli due anni, per il rifacimento dell'edificio, e trasferito nella chiesa di Santa Maria della Misericordia. Nel 1845 il dipinto fu trasportato su tela subendo un ulteriore deperimento della pellicola pittorica tanto da rendere dubitativa l’attribuzione al Correggio."
Angelo su nuvole,"Fetti Domenico (Roma, 1588/90 - Venezia, 1623)",Stanza non disponibile,141.png,,,,141.mp3,"Originariamente questa tela, in coppia con l'inv. 4189, fiancheggiava una scultura raffigurante la Crocifissione sull’altar maggiore di un oratorio a Mantova, cui era legata la Confraternita della Morte. Questa aveva il compito di assistere i carcerati e di accompagnare al patibolo i condannati alla pena capitale. L’insieme dunque offriva una scena di intenso patetismo, che si riflette ancora nelle espressioni dei due angeli: l’uno con lo sguardo verso l’alto, che dunque contemplava il Cristo; l’altro invece verso il basso, in direzione dei fedeli."
"Madonna col Bambino e i santi Sebastiano, Gioacchino, Anna, Francesco e Chiara",Giovanni Antonio Bazzi 1480-1500 ca.,Stanza non disponibile,142.png,,,,142.mp3,Descrizione non disponibile
Sacra famiglia con due angeli che formano una croce,Pietro Liberi (1652 ca),Stanza non disponibile,143.png,,,,143.mp3,descrizione non disponibile
"Sacra Famiglia con le sante Caterina, Barbara e Lucia","Bononi Carlo (Ferrara?, 1569/1580? - Ferrara, 1632)",20,144.png,,,,144.mp3,"Questa pala d’altare fu commissionata da Eleonora d’Este, sorella del duca Cesare, per una cappella nella chiesa di San Domenico adiacente al Castello di Modena. Così come quest’ultimo si trasformò in seguito nel grandioso Palazzo Ducale, anche la chiesa fu interamente rifatta e all’inizio del Settecento questo dipinto entrò nelle collezioni estensi. È una delle opere migliori di Carlo Bononi, che con una raffinatissima calibrazione di luci, ombre e sguardi, dona movimento a una composizione altrimenti solenne e statica."
Ritratto di Quaranta Malvasia,"Sabatini Lorenzo (Bologna, 1530 ca. - Roma, 1576)",16,145.png,,,,145.mp3,Descrizione non disponibile
Ritratto d'uomo,Scuola lombarda,16,146.png,,,,146.mp3,Descrizione non disponibile
Mercurio addormenta Argo,Tintoretto (Jacopo Robusti),19,147.png,,,,147.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, avvenuto nel 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredidel conte vendettero al duca Francesco I d'Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perduti due dipinti.
E' la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la lice drammatica, i colori accesi caratterizzarono questi dipinti che, nelle anatomie e nelle pose mostrano l'influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno al 1540."
"Semele incenerita da Giove",Tintoretto (Jacopo Robusti),19,148.png,,,,148.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, avvenuto nel 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredidel conte vendettero al duca Francesco I d'Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perduti due dipinti.
E' la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la lice drammatica, i colori accesi caratterizzarono questi dipinti che, nelle anatomie e nelle pose mostrano l'influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno al 1540."
Orfeo implora Plutone ,Tintoretto (Jacopo Robusti),19,149.png,,,,149.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, avvenuto nel 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredidel conte vendettero al duca Francesco I d'Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perduti due dipinti.
E' la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la lice drammatica, i colori accesi caratterizzarono questi dipinti che, nelle anatomie e nelle pose mostrano l'influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno al 1540."
"Deucalione e Pirra",Tintoretto (Jacopo Robusti),19,150.png,,,,150.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, avvenuto nel 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredidel conte vendettero al duca Francesco I d'Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perduti due dipinti.
E' la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la lice drammatica, i colori accesi caratterizzarono questi dipinti che, nelle anatomie e nelle pose mostrano l'influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno al 1540."
La corsa d'Ippomene,Tintoretto (Jacopo Robusti),19,151.png,,,,151.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, avvenuto nel 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredidel conte vendettero al duca Francesco I d'Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perduti due dipinti.
E' la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la lice drammatica, i colori accesi caratterizzarono questi dipinti che, nelle anatomie e nelle pose mostrano l'influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno al 1540."
Madonna col Bambino dormiente (copia da Guido Reni),"Salvi Giovanni Battista detto Sassoferrato (Sassoferrato, 1609 - Roma, 1685)",Stanza non disponibile,152.png,,,,152.mp3,"Sono note numerose copie di questo soggetto, tutte derivate da una tela di Guido Reni oggi dispersa e originariamente dipinta per la basilica di Santa Maria Maggiore a Roma. Il gesto intimo e premuroso con cui Maria copre Gesù bambino addormentato, conferisce all’opera un tono che si adatta perfettamente al gusto del Sassoferrato. Questi fu un artista di altissimo livello, indifferente alle mode del tempo e impegnato in una pittura di temi religiosi ispirata al più puro classicismo, da Raffaello a Reni."
"Venere, Marte e Amore",Guercino (Giovan Francesco Barbieri),21,152.png,,,,152.mp3,"Seguendo l'indicazione di Venere, la cui mano destra è dipinta quasi a trompe l'oeil, Cupido sta per scoccare la sua freccia verso lo spettatore, che è chiamato così a identificarsi nel committente dell'opera, Francesco I d'Este in persona. In secondo piano, Marte scopre la scena accentuando il senso di irruzione improvvisa dell'invenzine artistica nel mondo reale. Guercino dipinse questo capolavoro per il duce nel 1633, durante uno dei suoi soggiorni presso la corte di Modena."
Sposalizio mistico di santa Caterina,"Barbieri Giovan Francesco detto Guercino (Cento, 1591 - Bologna, 1666)",21,154.png,,,,154.mp3,"Secondo la tradizione, santa Caterina visse ad Alessandria d’Egitto all’inizio del IV secolo. Giovane ammirata e invano corteggiata, scelse di consacrare la vita a Cristo dopo una visione in cui la Madonna e il Bambino le mettevano al dito l’anello nuziale. Il suo proselitismo le costò il martirio attraverso il noto supplizio della ruota dentata, cui seguì la decapitazione. Soggetto assai diffuso nelle arti figurative, qui Guercino ne dà un’interpretazione di solenne classicismo, tipico della sua produzione più tarda."
La Maddalena visitata da un angelo con corona di spine,"Dal Sole Giovan Gioseffo (Bologna, 1654 - 1719)",22,155.png,,,,155.mp3,Descrizione non disponibile
Adorazione dei Magi,"Procaccini Camillo (Parma, 1561 – Milano, 1629)",22,156.png,,,,156.mp3,"Nel 1598 la corporazione dei mercanti di Reggio Emilia commissionò a Camillo Procaccini questa pala per un altare nella basilica della Ghiara, il maestoso tempio cittadino da poco edificato. L’artista temporeggiò troppo e l’incarico fu quindi allogato a un suo rivale, Palma il Giovane (la cui opera oggi è anch'essa esposta in Galleria Estense, inv. 355). Questa versione di Procaccini, col rutilante corteo dei Magi che irrompe dal lontano passaggio fiabesco, fu quindi acquistata dalla famiglia Squadroni per il proprio altare nella chiesa dei Santi Pietro e Prospero."
Madonna col Bambino e san Gaetano Thiene,,21,157.png,,,,157.mp3,descrizione non disponibile
Ritratto di giovane,"Torre Flaminio (Bologna, 1620 - Modena, 1661)",16,158.png,,,,158.mp3,"Nulla si sa di questo giovane e del perché fu ritratto, alla metà del Seicento, da un pittore che la critica ha individuato in Flaminio Torre. Questi era un raffinato interprete della tradizione classicista bolognese, che dal suo maestro Simone Cantarini risaliva direttamente al caposcuola Guido Reni. Dato che Torre ebbe legami anche con la corte estense, e negli ultimi anni di vita fu nominato conservatore delle collezioni ducali di Modena, può darsi che questo personaggio appartenesse proprio a tale ambito."
Ritratto di Girolamo Graziani,"Gennari Benedetto il Giovane (Cento, 1633 - Bologna, 1715)",16,159.png,,,,159.mp3,"Girolamo Graziani (Pergola, 1604-1675) fu un letterato e poeta attivo alla corte dei duchi di Modena, dove svolse incarichi di consigliere e segretario di Stato al tempo di Francesco I e Alfonso IV d’Este, e poi durante la reggenza di Laura Martinozzi. In ambito artistico elaborò soprattutto il programma iconografico per la decorazione del Palazzo Ducale di Sassuolo su temi storico-mitologici, fra i quali spicca il più complesso ciclo di Bacco mai illustrato, cui è dedicata l’intera galleria del palazzo."
